PostalCode,Locality,State,Comment,Category,Country
0872,GIBSON DESERT NORTH,WA,,Delivery Area,Australia
0872,GIBSON DESERT SOUTH,WA,,Delivery Area,Australia
0872,HAASTS BLUFF,NT,,Delivery Area,Australia
0872,HALE,NT,,Delivery Area,Australia
0872,HART,NT,,Delivery Area,Australia
0872,HERMANNSBURG,NT,,Delivery Area,Australia
0872,HUGH,NT,,Delivery Area,Australia
0872,IMANPA,NT,,Delivery Area,Australia
0872,INDULKANA (IWANTJA),SA,,Delivery Area,Australia
0872,ININTI STORE,NT,,Delivery Area,Australia
0872,IRRUNYTJU,WA,,Delivery Area,Australia
0872,IWANTJA,SA,,Delivery Area,Australia
0872,KALKA,SA,,Delivery Area,Australia
0872,KALTJITI,SA,,Delivery Area,Australia
0872,KALTUKATJARA,NT,,Delivery Area,Australia
0872,KANPA,WA,,Delivery Area,Australia
0872,KANPI,SA,,Delivery Area,Australia
0872,KINGS CREEK STATION,NT,,Delivery Area,Australia
0872,KINTORE,NT,,Delivery Area,Australia
0872,KIWIRRKURRA,WA,,Delivery Area,Australia
0872,KULGERA,NT,,Delivery Area,Australia
0872,KUNPARRKA,NT,,Delivery Area,Australia
0872,LAKE MACKAY,NT,,Delivery Area,Australia
0872,LAMBINA,SA,,Delivery Area,Australia
0872,LARAMBA,NT,,Delivery Area,Australia
0872,MACDONNELL RANGE,NT,,Delivery Area,Australia
0872,MANTAMARU,WA,,Delivery Area,Australia
0872,MEREENIE,NT,,Delivery Area,Australia
0872,MIMILI,SA,,Delivery Area,Australia
0872,MOUNT LIEBIG,NT,,Delivery Area,Australia
0872,MOUNT ZEIL,NT,,Delivery Area,Australia
0872,MURPUTJA,SA,,Delivery Area,Australia
0872,MUTITJULU,NT,,Delivery Area,Australia
0872,NAMATJIRA,NT,,Delivery Area,Australia
0872,NAPPERBY STATION,NT,,Delivery Area,Australia
0872,NGAANYATJARRA-GILES,WA,,Delivery Area,Australia
0872,NYAPARI,SA,,Delivery Area,Australia
0872,NYIRRIPI,NT,,Delivery Area,Australia
0872,PAPULANKUTJA,WA,,Delivery Area,Australia
0872,PAPUNYA,NT,,Delivery Area,Australia
0872,PATJARR,WA,,Delivery Area,Australia
0872,PETERMANN,NT,,Delivery Area,Australia
0872,PIPALYATJARA,SA,,Delivery Area,Australia
0872,PUKATJA,SA,,Delivery Area,Australia
0872,SANDOVER,NT,,Delivery Area,Australia
0872,SANTA TERESA,NT,,Delivery Area,Australia
0872,SIMPSON,NT,,Delivery Area,Australia
0872,TANAMI,NT,,Delivery Area,Australia
0872,TARA,NT,,Delivery Area,Australia
0872,TELEGRAPH STATION,NT,,Delivery Area,Australia
0872,TI TREE,NT,,Delivery Area,Australia
0872,TIEYON,SA,,Delivery Area,Australia
0872,TITJIKALA,NT,,Delivery Area,Australia
0872,TJIRRKARLI,WA,,Delivery Area,Australia
0872,TJUKURLA,WA,,Delivery Area,Australia
0872,UMUWA,SA,,Delivery Area,Australia
0872,WALLACE ROCKHOLE,NT,,Delivery Area,Australia
0872,WANARN,WA,,Delivery Area,Australia
0872,WARAKURNA,WA,,Delivery Area,Australia
0872,WATARRU,SA,,Delivery Area,Australia
0872,WATINUMA,SA,,Delivery Area,Australia
0872,WILLOWRA,NT,,Delivery Area,Australia
0872,WILORA,NT,,Delivery Area,Australia
0872,WINGELLINA,WA,,Delivery Area,Australia
0872,WUTUNUGURRA,NT,,Delivery Area,Australia
0872,YUELAMU,NT,,Delivery Area,Australia
0872,YUENDUMU,NT,,Delivery Area,Australia
0872,YULARA,NT,,Delivery Area,Australia
0872,YUNYARINYI,SA,,Delivery Area,Australia
0873,AMOONGUNA,NT,,Delivery Area,Australia
0873,ARUMBERA,NT,,Delivery Area,Australia
0873,CONNELLAN,NT,,Delivery Area,Australia
0873,HEAVITREE GAP CPA,NT,PO BOXES,Delivery Area,Australia
0873,ILPARPA,NT,,Delivery Area,Australia
0873,KILGARIFF,NT,,Delivery Area,Australia
0873,ROSS,NT,,Delivery Area,Australia
0874,IRLPME,NT,,Delivery Area,Australia
0874,MOUNT JOHNS,NT,,Delivery Area,Australia
0874,UNDOOLYA,NT,,Delivery Area,Australia
0875,FLYNN,NT,,Delivery Area,Australia
0875,LARAPINTA,NT,,Delivery Area,Australia
0880,GAPUWIYAK,NT,,Delivery Area,Australia
0880,GUNYANGARA,NT,,Delivery Area,Australia
0880,NHULUNBUY,NT,,Delivery Area,Australia
0880,YIRRKALA,NT,,Delivery Area,Australia
0881,NHULUNBUY,NT,PO BOXES,Post Office Boxes,Australia
0885,ALYANGULA,NT,,Delivery Area,Australia
0886,JABIRU,NT,,Delivery Area,Australia
0906,WINNELLIE,NT,,LVR,Australia
0907,WINNELLIE,NT,,LVR,Australia
0909,CHARLES DARWIN UNIVERSITY,NT,,LVR,Australia
1100,SYDNEY,NSW,PO BOXES,LVR,Australia
1215,AUSTRALIA SQUARE,NSW,PO BOXES,Post Office Boxes,Australia
1220,GROSVENOR PLACE,NSW,PO BOXES,Post Office Boxes,Australia
1225,ROYAL EXCHANGE,NSW,PO BOXES,Post Office Boxes,Australia
1230,QUEEN VICTORIA BUILDING,NSW,PO BOXES,Post Office Boxes,Australia
1231,SYDNEY SOUTH,NSW,SYDNEY WATER,LVR,Australia
1235,SYDNEY SOUTH,NSW,PO BOXES,Post Office Boxes,Australia
1239,HAYMARKET,NSW,PO BOXES,LVR,Australia
1240,HAYMARKET,NSW,PO BOXES,Post Office Boxes,Australia
1291,SYDNEY,NSW,PO BOXES,LVR,Australia
1300,DARLINGHURST,NSW,PO BOXES,Post Office Boxes,Australia
1335,POTTS POINT,NSW,PO BOXES,Post Office Boxes,Australia
1340,KINGS CROSS,NSW,PO BOXES,Post Office Boxes,Australia
1350,WOOLLAHRA,NSW,PO BOXES,Post Office Boxes,Australia
1355,BONDI JUNCTION,NSW,PO BOXES,Post Office Boxes,Australia
1360,DOUBLE BAY,NSW,PO BOXES,Post Office Boxes,Australia
1405,CHULLORA,NSW,PO BOXES,Post Office Boxes,Australia
1435,ALEXANDRIA,NSW,PO BOXES,Post Office Boxes,Australia
1445,ROSEBERY,NSW,PO BOXES,Post Office Boxes,Australia
1450,CAMPERDOWN,NSW,PO BOXES,Post Office Boxes,Australia
1455,BOTANY,NSW,PO BOXES,Post Office Boxes,Australia
1460,MASCOT,NSW,PO BOXES,Post Office Boxes,Australia
1465,KENSINGTON,NSW,PO BOXES,Post Office Boxes,Australia
1466,UNSW SYDNEY,NSW,PO BOXES,Post Office Boxes,Australia
1470,DRUMMOYNE,NSW,PO BOXES,Post Office Boxes,Australia
1475,MARRICKVILLE,NSW,PO BOXES,Post Office Boxes,Australia
1480,KINGSGROVE,NSW,PO BOXES,Post Office Boxes,Australia
1481,HURSTVILLE BC,NSW,PO BOXES,Post Office Boxes,Australia
